review_id,status,latency_ms,usage_prompt_tokens,usage_completion_tokens,usage_total_tokens,assistant_text_raw
ELECTRONICS_1034466,ok,7286.048650741577,268,93,361,"{ ""sentiments"": [ {""name"": ""added weight"", ""score"": -1}, {""name"": ""case design"", ""score"": 0}, {""name"": ""ease of use for children"", ""score"": 1}, {""name"": ""flip cover functionality"", ""score"": -1}, {""name"": ""grip requirement"", ""score"": 1}, {""name"": ""sturdiness"", ""score"": 1} ] }"
ELECTRONICS_109792,ok,3367.1979904174805,337,86,423,"{ ""sentiments"": [ {""name"": ""battery life"", ""score"": -1}, {""name"": ""brand origin"", ""score"": 0}, {""name"": ""cell capacity"", ""score"": 0}, {""name"": ""cell quality"", ""score"": -1}, {""name"": ""performance"", ""score"": 0}, {""name"": ""self discharge"", ""score"": -1} ] }"
ELECTRONICS_1170581,ok,1946.1941719055176,271,37,308,"{ ""sentiments"": [ {""name"": ""usb adapter compatibility"", ""score"": -1}, {""name"": ""usb hub functionality"", ""score"": 0} ] }"
ELECTRONICS_1256430,parse_error,4197.039842605591,621,114,735,"{ ""sentiments"": [ {""name"": ""admin password"", ""score"": -1}, {""name"": ""alarm scheduling"", ""score"": 0}, {""name"": ""compatibility"", ""score"": -1}, {""name"": ""motion detection"", ""score"": +1}, {""name"": ""recording scheduling"", ""score"": 0}, {""name"": ""setup process"", ""score"": +1}, {""name"": ""ssid hiding"", ""score"": -1}, {""name"": ""video review"", ""score"": +1} ] }"
ELECTRONICS_1355336,ok,3574.1095542907715,318,94,412,"{""sentiments"": [{""name"": ""battery life"", ""score"": -1}, {""name"": ""delivery speed"", ""score"": 0}, {""name"": ""fan noise"", ""score"": 0}, {""name"": ""fit"", ""score"": 0}, {""name"": ""packaging"", ""score"": 0}, {""name"": ""price"", ""score"": -1}, {""name"": ""screen"", ""score"": 0}]}"
ELECTRONICS_1466042,ok,2871.1626529693604,946,66,1012,"{ ""sentiments"": [ {""name"": ""battery life"", ""score"": -1}, {""name"": ""built-in ethernet/vga ports"", ""score"": -1}, {""name"": ""integrated optical drive"", ""score"": 0}, {""name"": ""software"", ""score"": -1} ] }"
ELECTRONICS_1509607,ok,3069.4968700408936,347,74,421,"{ ""sentiments"": [ {""name"": ""battery life"", ""score"": 0}, {""name"": ""carrying case"", ""score"": 1}, {""name"": ""design"", ""score"": 1}, {""name"": ""noise isolation"", ""score"": 1}, {""name"": ""sound quality"", ""score"": 0} ] }"
ELECTRONICS_1616261,ok,2762.2838020324707,462,62,524,"{ ""sentiments"": [ {""name"": ""battery warning"", ""score"": -1}, {""name"": ""bud size"", ""score"": 0}, {""name"": ""fit"", ""score"": 0}, {""name"": ""power on/off alerts"", ""score"": 1} ] }"
ELECTRONICS_1655703,ok,2867.489814758301,246,66,312,"{ ""sentiments"": [ {""name"": ""airflow"", ""score"": -0.5}, {""name"": ""color"", ""score"": 1.0}, {""name"": ""lights"", ""score"": 1.0}, {""name"": ""noise"", ""score"": -0.5} ] }"
ELECTRONICS_1661613,ok,5929.8694133758545,424,172,596,"{ ""sentiments"": [ {""name"": ""backlighting"", ""score"": 1}, {""name"": ""backlit"", ""score"": 0}, {""name"": ""case"", ""score"": 0}, {""name"": ""hard case keyboard"", ""score"": 1}, {""name"": ""hardcover"", ""score"": 1}, {""name"": ""kensington"", ""score"": 0}, {""name"": ""keyboard setup"", ""score"": 0}, {""name"": ""keyboard spacing"", ""score"": 1}, {""name"": ""pairing process"", ""score"": 1}, {""name"": ""portability"", ""score"": 1}, {""name"": ""set-up instructions"", ""score"": 1}, {""name"": ""turning off and on"", ""score"": 0} ] }"
ELECTRONICS_1671899,parse_error,8400.38275718689,793,256,1049,"{ ""sentiments"": [ {""name"": ""battery life"", ""score"": 0}, {""name"": ""case design"", ""score"": 1}, {""name"": ""coverage for ipad"", ""score"": 1}, {""name"": ""function keys"", ""score"": 1}, {""name"": ""functionality"", ""score"": 1}, {""name"": ""keyboard"", ""score"": 1}, {""name"": ""keyboard layout"", ""score"": 1}, {""name"": ""layout"", ""score"": 1}, {""name"": ""lightweight design"", ""score"": 1}, {""name"": ""micro usb cable"", ""score"": 1}, {""name"": ""packaging"", ""score"": 1}, {""name"": ""premium look"", ""score"": 1}, {""name"": ""protection"", ""score"": 1}, {""name"": ""protective lip"", ""score"": 1}, {""name"": ""reliability"", ""score"": 1}, {""name"": ""stroke"", ""score"": 1}, {""name"": ""swivel mechanism"", ""score"": 1}, {""name"": ""upper shell"", ""score"": 1}, {""name"": ""weight"", ""score"": 1} ]"
ELECTRONICS_248322,parse_error,1933.1002235412598,245,35,280,"{ ""sentiments"": [ {""name"": ""bass"", ""score"": +1}, {""name"": ""sound quality"", ""score"": +1} ] }"
ELECTRONICS_257489,ok,3891.4408683776855,682,102,784,"{ ""sentiments"": [ {""name"": ""cord plug"", ""score"": -1}, {""name"": ""dash mount adhesive"", ""score"": -1}, {""name"": ""friction mount"", ""score"": 1}, {""name"": ""mount release"", ""score"": 1}, {""name"": ""portability"", ""score"": 1}, {""name"": ""price"", ""score"": 1}, {""name"": ""windshield mount"", ""score"": -1} ] }"
ELECTRONICS_264842,parse_error,8606.989622116089,2110,256,2366,"{ ""sentiments"": [ {""name"": ""3rd party apps"", ""score"": 1}, {""name"": ""accessories"", ""score"": 1}, {""name"": ""application availability"", ""score"": 0.5}, {""name"": ""audio formats support"", ""score"": 1}, {""name"": ""battery life"", ""score"": 1}, {""name"": ""carry bag"", ""score"": 0.5}, {""name"": ""crossword application"", ""score"": 0.5}, {""name"": ""crossword puzzle applications"", ""score"": 1}, {""name"": ""current supply"", ""score"": 0.5}, {""name"": ""display quality"", ""score"": 1}, {""name"": ""display size"", ""score"": 0.5}, {""name"": ""ebook reader program"", ""score"": 1}, {""name"": ""font readability"", ""score"": 1}, {""name"": ""font sizing flexibility"", ""score"": 1}, {""name"": ""garnet vm"", ""score"": 0.5}, {""name"": ""java runtime module"", ""score"": -1}, {""name"": ""java support"", ""score"": -1}, {""name"": ""mod"
ELECTRONICS_285742,parse_error,3576.857805252075,557,89,646,"{ ""sentiments"": [ {""name"": ""customer service"", ""score"": -1}, {""name"": ""delivery speed"", ""score"": 0}, {""name"": ""end-plate durability"", ""score"": -1}, {""name"": ""noise canceling"", ""score"": -1}, {""name"": ""noise isolation"", ""score"": 0}, {""name"": ""price"", ""score"": +1} ] }"
ELECTRONICS_345293,ok,2035.459280014038,307,35,342,"{ ""sentiments"": [ {""name"": ""audio quality"", ""score"": -1}, {""name"": ""picture quality"", ""score"": 0} ] }"
ELECTRONICS_376406,parse_error,8506.282329559326,1184,256,1440,"{ ""sentiments"": [ {""name"": ""cd with drivers and software"", ""score"": -0.2}, {""name"": ""cover page addition"", ""score"": 0.5}, {""name"": ""document review"", ""score"": 0.8}, {""name"": ""fax capture driver"", ""score"": 0.6}, {""name"": ""linux readme file"", ""score"": 0.4}, {""name"": ""modem communication"", ""score"": 0.9}, {""name"": ""modem installation"", ""score"": 0.7}, {""name"": ""multilingual manual"", ""score"": 0.8}, {""name"": ""os detection"", ""score"": 0.6}, {""name"": ""page addition limitation"", ""score"": -0.3}, {""name"": ""page merging"", ""score"": 0.5}, {""name"": ""phone tools documentation"", ""score"": 0.7}, {""name"": ""price value"", ""score"": 0.9}, {""name"": ""print to fax driver"", ""score"": 0.5}, {""name"": ""printed manual"", ""score"": 0.6}, {""name"": ""software functionality"", ""score"": 0"
ELECTRONICS_391311,ok,2558.7873458862305,431,50,481,"{ ""sentiments"": [ {""name"": ""ear pain"", ""score"": -1}, {""name"": ""noise cancelation"", ""score"": 0}, {""name"": ""wearing comfort"", ""score"": -1} ] }"
ELECTRONICS_405550,ok,6596.437454223633,1803,191,1994,"{ ""sentiments"": [ {""name"": ""battery life"", ""score"": -1}, {""name"": ""charging"", ""score"": 1}, {""name"": ""charging devices"", ""score"": 1}, {""name"": ""charging efficiency"", ""score"": 1}, {""name"": ""charging multiple items simultaneously"", ""score"": 0}, {""name"": ""charging source"", ""score"": 1}, {""name"": ""compatibility"", ""score"": 1}, {""name"": ""design"", ""score"": 1}, {""name"": ""operation"", ""score"": 1}, {""name"": ""performance"", ""score"": 1}, {""name"": ""portability"", ""score"": 1}, {""name"": ""power source"", ""score"": 1}, {""name"": ""usb ac adaptor compatibility"", ""score"": 1}, {""name"": ""usb ports"", ""score"": 1} ]}"
ELECTRONICS_530397,ok,1888.3609771728516,360,32,392,"{""sentiments"": [{""name"": ""cable length"", ""score"": -1}, {""name"": ""price"", ""score"": 0}]}"
ELECTRONICS_595439,ok,2980.7050228118896,304,71,375,"{ ""sentiments"": [ {""name"": ""cpu cooling"", ""score"": 1}, {""name"": ""fan"", ""score"": 0}, {""name"": ""heat sink"", ""score"": 1}, {""name"": ""installation"", ""score"": -1}, {""name"": ""price"", ""score"": 1} ] }"
ELECTRONICS_658974,ok,8380.062341690063,748,256,1004,"{ ""sentiments"": [ {""name"": ""adjustability"", ""score"": 0.8}, {""name"": ""bass boost"", ""score"": 0.95}, {""name"": ""battery life"", ""score"": -0.5}, {""name"": ""buttons"", ""score"": 0.9}, {""name"": ""comfort"", ""score"": 0.95}, {""name"": ""ear coverage"", ""score"": 0.95}, {""name"": ""portability"", ""score"": 0.6}, {""name"": ""sound consistency"", ""score"": 0.85}, {""name"": ""sound quality"", ""score"": 1}, {""name"": ""surround sound"", ""score"": 0.85}, {""name"": ""transmitter battery"", ""score"": -0.5}, {""name"": ""transmitter cables"", ""score"": 0.8}, {""name"": ""transmitter options"", ""score"": 0.9}, {""name"": ""transmitter rechargeable station"", ""score"": 0.9}, {""name"": ""volume control"", ""score"": 0.9}, {""name"": ""weight"", ""score"": -0.3} ] }"
ELECTRONICS_716537,ok,4798.727989196777,501,134,635,"{ ""sentiments"": [ {""name"": ""key remap"", ""score"": -1}, {""name"": ""logitech control center version"", ""score"": -1}, {""name"": ""mac support"", ""score"": -1}, {""name"": ""mouse button mappings"", ""score"": -1}, {""name"": ""operating system version"", ""score"": -1}, {""name"": ""peripheral recognition"", ""score"": -1}, {""name"": ""settings retention"", ""score"": -1}, {""name"": ""software installation"", ""score"": -1}, {""name"": ""usb unity"", ""score"": -1} ] }"
ELECTRONICS_739734,parse_error,3906.339645385742,301,102,403,"{ ""sentiments"": [ {""name"": ""battery life"", ""score"": 0}, {""name"": ""mouse power saving"", ""score"": +1}, {""name"": ""mouse range"", ""score"": +1}, {""name"": ""mouse recognition"", ""score"": 0}, {""name"": ""reconnect function"", ""score"": +1}, {""name"": ""sleep function"", ""score"": +1}, {""name"": ""switch design"", ""score"": -1} ] }"
ELECTRONICS_792958,ok,5218.4600830078125,271,148,419,"{ ""sentiments"": [ {""name"": ""carrying case"", ""score"": 0.5}, {""name"": ""cord storage"", ""score"": 0.75}, {""name"": ""durability"", ""score"": 0.8}, {""name"": ""external battery charger"", ""score"": 0.6}, {""name"": ""hard case"", ""score"": 0.9}, {""name"": ""internal compartment"", ""score"": 0.85}, {""name"": ""slim design"", ""score"": 0.7}, {""name"": ""usb cable"", ""score"": 0.6}, {""name"": ""volume"", ""score"": 0.4} ] }"
ELECTRONICS_818158,ok,3778.140068054199,383,97,480,"{ ""sentiments"": [ {""name"": ""bass"", ""score"": -1}, {""name"": ""battery power"", ""score"": 1}, {""name"": ""connection"", ""score"": 1}, {""name"": ""design"", ""score"": 1}, {""name"": ""equalizer"", ""score"": 0}, {""name"": ""price"", ""score"": 1}, {""name"": ""sound quality"", ""score"": 1} ] }"
ELECTRONICS_903364,ok,3186.5947246551514,273,78,351,"{ ""sentiments"": [ {""name"": ""camera usage"", ""score"": 0}, {""name"": ""default password entry"", ""score"": 1}, {""name"": ""external ip access"", ""score"": 0}, {""name"": ""port forwarding"", ""score"": 0}, {""name"": ""wireless router setup"", ""score"": 0} ] }"
